"time","arr_delay","n"
12.2333,11.1429,92
12.2,12.9474,114
11.9833,6.17742,248
12.9167,1.84009,447
11.9333,7.24638,208
9.03333,0.546196,369
9.63333,1.12371,195
9.08333,-0.771505,374
5.95,-5.42007,271
5.9,-8.41667,168
5.91667,-7.91121,214
5.96667,-4.76299,309
6,-2.1451,256
5.93333,-5.89474,285
6.08333,-2.05263,115
5.88333,-8.62264,107
5.85,-8.07317,41
6.55,-6,84
5.83333,-10.58,51
5.86667,-9.36145,83
6.1,-2.46835,80
18.4,12.514,180
18.45,6.8908,176
18.75,18.4459,148
18.35,13.369,187
18.5667,17.7102,176
18.3667,10.4333,180
19.6333,10.7214,202
18.3333,16.1412,179
18.6,12.784,162
18.2667,22.3226,187
18.4333,10,167
18.5,9.58416,203
18.5333,9.7929,169
6.9,-8.41772,79
7.05,-5.76056,71
16.0667,9.81034,291
6.98333,-5.11,203
18.0167,7.25588,340
16.1333,13.7714,210
7,-3.15646,147
15.7333,1.50933,376
15.5333,4.128,375
15.7,3.93539,356
6.88333,-2.96667,60
16.3,13.7425,167
6.93333,-7.792,125
15.9,7.39494,397
15.3667,11.118,179
8.13333,2.65185,137
15.5667,6.34127,378
6.86667,-8.71154,52
15.85,7.45915,358
7.5,-0.387168,453
15.5167,3.16621,367
16.7833,18.7308,156
15.6333,8.67123,294
17.4167,8.12025,158
7.01667,-3.12222,90
6.96667,-5.54545,187
15.5833,4.86427,361
7.11667,-2.75,96
6.91667,-7.72868,129
6.95,-5.41379,174
6.85,-3.71111,45
16.9833,9.89163,204
9.4,0.501901,264
18.4167,13.8763,194
15.6,7.16333,302
19.2667,8.22248,437
7.78333,0.258772,229
14.4167,6.39474,343
6.11667,-4.1125,80
10.6833,4.94737,304
14.55,5.01351,370
14.3667,6.0165,304
14.7,7.5,297
8.85,-2.17337,323
19.3167,5.59695,460
11.9167,7.95397,240
7.43333,-0.980344,409
12.9833,2.8234,456
21.2667,7.12788,391
13.0167,3.71059,388
18.8333,6.18284,268
7.45,-1.37143,490
12.6667,8.56934,137
11.4833,5.36391,341
16.25,13.3481,181
11.75,1.95322,342
7.58333,1.23509,287
10.7667,5.65315,222
21.0333,6.61127,357
8.9,-2.43095,420
19.8167,11.2688,187
14.5167,4.08978,402
13.2,7.19059,407
12.8,-1.03163,413
7.7,-0.762774,274
10.55,1.02976,338
14.5333,5.30256,390
13.3333,9.86957,322
10.7833,5.14973,187
19.0333,8.06596,380
13.2667,7.10289,312
10.5167,-0.48368,338
7.41667,-2.21063,508
7.81667,3.56017,241
17.0167,6.60309,194
19.1833,4.57955,440
19.4,9.90049,414
19.15,4.65566,426
10.8167,6.37333,229
19.4167,10.4032,441
12.8333,0.740365,494
21.95,61.8125,32
13.0833,5.17136,427
9.1,2.14329,330
11.8,5.47222,254
8.91667,-1.94582,445
20.9333,9.65748,254
17.6333,6.16616,332
13.3667,2.94872,273
12.95,4.96231,399
9.56667,1.5814,216
6.63333,-5.5,78
11.7667,2.70877,286
16.1833,15.3352,182
9.28333,-0.174658,293
19.0167,4.11467,376
7.66667,-0.795181,250
13.2167,5.67467,378
15.6667,5.89034,383
19.5,10.4484,340
15.7167,4.48354,395
19.2833,5.78205,469
19.25,4.02386,463
11.3333,2.48023,177
17.6167,7.5044,341
15.8333,6.0155,389
10.5667,0.515789,380
14.6667,9.50409,367
11.5,2.24398,333
19.6667,5.49817,275
12.65,7.02326,130
11.7333,3.22884,319
13.1333,2.21448,374
14.3833,5.63608,318
21.6167,34.9268,82
16.8833,17.3712,132
21.7167,40.8246,57
7.48333,-0.984305,447
13.7833,13.0881,159
8.7,-2.16875,161
13.1833,7.7546,327
21.0833,3.0105,382
11.1167,11.6377,138
18.0833,10.3323,327
21.3333,6.55556,315
15.9667,6.68644,357
14.7667,7.96703,273
13.15,5.38095,380
21.1167,4.56452,375
18.9833,4.95946,372
19,5.44851,437
19.05,5.69682,411
21.0167,8.72642,318
12.4833,9.56463,147
10.5833,1.94164,378
20.8833,9.88976,254
10.8,4.81333,226
19.3,4.98745,481
9.33333,3.46847,333
15.9833,6.93103,349
21.2167,6.06127,459
14.5667,5.66954,350
10.65,3.02899,277
17.5167,3.64134,329
18.7833,11.5947,190
9,-0.182213,462
14.9,4.66204,216
7.38333,-2.75052,481
11.8833,5.73109,238
11.65,2.91362,302
8.75,-1.58091,241
12.2667,15.598,102
17.7167,9.26765,341
8.83333,-2.53825,368
19.1667,5.33264,484
15.8,5.65931,317
9.21667,-0.145897,331
18.15,12.3857,280
10.5,-1.09456,351
13.4167,5.23899,318
17.5333,3.2642,353
9.18333,-0.142458,358
17.55,3.35613,351
7.88333,-0.484444,227
12.8667,0.235437,413
9.66667,3.01156,173
19.4333,9.05149,371
17.7,10.1362,324
13.2833,6.15625,352
14.7833,7.66914,269
10.45,0.608974,312
19.3667,9.4061,426
12.5333,9.5303,133
9.41667,2.23214,281
18.4833,10,189
15.4167,10.6598,245
19.2333,4.7467,454
7.9,-0.190955,200
10.85,7.79397,200
7.6,0.873606,269
12.9667,1.8139,407
21.4667,19.0167,180
9.58333,3.49545,220
19.3333,7.37143,457
5.98333,-5.11494,349
22,49.6136,45
16.1167,13.4491,217
13.0667,4.30516,427
15.9167,8.3288,371
12.6,11.6783,115
11.7167,3.77,301
21.2,7.03182,440
8.8,-2.72243,263
13.25,4.33248,393
14.9833,10.1744,172
11.95,3.36792,212
7.75,1.32971,276
17.1,15.0282,142
18.2167,12.5972,211
10.7167,5.07451,257
18.9167,4.99688,321
21.6833,35.3483,89
19.2,6.3011,455
13.3167,8.16667,339
11.85,6.93839,211
21.1,5.61795,391
13.8333,12.2634,186
13.0333,2.75315,397
9.43333,2.23611,288
11.7,3.48929,283
16.15,15.0234,215
8,-0.968,250
14.3333,6.88493,367
15.65,8.95937,321
14.4667,2.09409,373
19.35,5.29412,442
19.1333,4.61045,423
11.4,4.5802,294
17.7333,9.5627,312
19.5167,11.6349,305
15.8833,7.09091,354
14.8667,8.41333,226
18.1,10.532,298
11.5333,7.58527,258
19.0667,6.02757,399
11.6833,3.89206,316
14.9167,9.86147,232
21.5833,33.8454,97
20.4333,27.2883,112
15.2667,22.438,137
13.7,11.2604,169
11.0333,9.23977,172
10.8833,7.17172,198
21.1333,5.02519,397
16.05,11.6772,288
17,12.0429,234
9.25,1.53251,324
21.3833,13.1475,245
10.6167,2.27329,325
20.8333,9.13216,227
11.45,2.85714,260
21.0667,5.42398,342
9.45,2.53004,284
16.2667,14.7925,160
14.7333,5.31962,316
10.1833,1.1069,290
13.3833,6.69338,288
14.0333,10.6,175
8.96667,0.289941,508
14.85,13.2392,256
11.6167,3.6338,286
14.3,4.86408,310
8.65,0.893443,122
20.95,11.2474,287
17.7833,9.54515,301
16.0833,10.6423,261
9.46667,2.24151,265
18.0333,4.85714,331
10.5333,2.20061,330
13.75,8.85714,191
22.5667,95.4167,12
19.7333,13.9487,235
12.8167,-0.452153,420
19.6167,11.2857,224
8.95,-2.44444,514
17.0667,13.1163,130
13.5333,9.90602,268
14.8833,8.26293,233
12.55,7.71875,128
12.8833,2.24638,416
17.9667,8.36686,339
11.5167,7.11027,265
17.65,6.25519,339
10.75,5.29167,288
14.6167,7.35556,318
7.73333,-0.768489,311
10.8333,4.38095,212
8.86667,-2.57821,358
13.1667,3.80106,378
21.3667,10.3024,248
15.7667,6.6875,352
15.6833,5.36812,345
18.8667,5.08425,273
11.55,6.2,266
11.6667,1.50784,320
20.8667,10.5579,242
9.7,8.31092,119
14.9667,11.2264,213
13.2333,3.80716,365
12.25,15.0734,109
11.0667,7.81657,171
11.9667,4.0625,241
17.0333,12.9697,165
20.1667,17.9281,153
19.6833,12.6618,207
21.45,18.479,167
19.1167,2.77612,402
13,1.81909,505
17.75,5.20988,325
13.4,7.24567,290
9.55,1.90625,192
20.9167,7.04982,281
14.4333,6.72347,312
13.1,6.13079,368
19.55,11.3498,264
15,10.6345,197
7.56667,0.937304,320
13.5833,12.5255,196
8.68333,-2.912,125
18,5.34085,355
16.0167,10.8486,319
12.4333,7.824,125
10.8667,4.26316,209
21.1667,2.78854,508
10.1167,-1.23397,312
13.35,9.20522,270
19.2167,4.29833,420
12.7167,1.24096,167
12.3333,18.5591,94
8.73333,-2.05405,185
20.7667,24.2479,122
16.0333,8.39329,330
9.31667,0.00611621,328
17.6,4.76174,300
18.9,5.63291,319
12.5,9.23129,147
9.48333,0.140411,292
7.53333,0.498471,327
10.0333,-1.05039,258
10.3833,2.20175,342
9.53333,2.379,220
17.6667,5.08228,317
18.5167,12.1452,187
7.83333,2.0935,248
12.1167,11.0121,165
16.2333,19.7299,174
20.9667,9.82593,270
21.2833,7.12814,398
15.95,3.60245,329
9.61667,2.7486,180
13.1167,7.24665,373
12.9333,3.75462,382
13.55,11.9315,220
20.3667,33.9758,125
6.01667,-3.52229,157
21.25,4.3313,496
11.8667,7.09283,237
20.5667,25.9009,111
20.8167,13.8273,221
9.73333,6.53333,105
6.8,-6,45
18.95,4.1589,365
14.9333,9.81373,205
14.45,5.29235,366
11.3833,6.71321,265
15.0333,13.5389,181
21.5333,24.8167,121
19.8,11.6598,195
21.9,37.0625,32
17.15,18.757,107
8.76667,-2.90909,231
20.9,10.875,273
9.78333,11.9767,86
12.45,6.31897,117
21.15,4.43914,419
10.9833,3.86325,235
19.4667,9.47013,387
21.6667,41.1944,72
17.5833,5.04032,373
18.8833,5.52852,263
15.1833,17.1556,137
12.0167,5.79439,215
11.5833,2.79705,272
14.35,4.38225,294
8.71667,-3.21818,165
12.3,15.5392,102
16.3333,13.3252,163
16.6167,11.7022,178
16,9.09402,351
15.0667,17.0365,138
9.23333,-0.109422,329
21.4833,18.5474,137
9.91667,8.36296,135
9.51667,3.21875,256
15.8667,5.17358,388
13.7667,10.6203,158
14.65,7.62462,334
12.85,0.584383,397
11.4333,3.85827,255
9.83333,9.48958,96
15.7833,8.29745,353
7.76667,1.54373,264
20.2833,30.38,150
12.5167,7.53103,147
19.45,9.37394,355
13.4667,6.98611,288
0.183333,153.5,2
16.55,11.1195,226
10.4167,-0.625316,397
13.05,3.01754,400
15.6167,7.61371,323
22.6167,108.929,14
13.6,11.1871,172
11.6333,5.26552,291
7.61667,-0.495763,236
14.5,4.24041,392
11.4667,3.59873,314
10.7333,6.82239,259
12.75,2.3625,240
17.05,15.6786,168
19.3833,11.1325,416
6.16667,-1.525,120
11.8333,8.11064,236
20.9833,10.7607,280
19.75,18.2712,177
14.8333,8.20789,280
6.7,-6.73864,88
18.8167,7.63556,226
16.2833,16.1471,170
17.5,4.76503,368
11.4167,3.71758,347
17.5667,2.84986,354
20.1333,17.4714,141
15.4667,5.95821,335
14.5833,7.09827,347
21.7,34.3151,73
19.5333,15.597,263
16.8333,10.3919,148
13.8,17.0064,157
15.45,7.53488,259
11.35,2.39796,197
15.0833,14.9375,160
16.2,14.4641,181
21.5667,24.3673,98
21.55,26.1635,105
21.1833,3.89041,439
12.4,5.83654,104
12.05,8.14525,179
14.75,9.51027,292
17.9833,8.24074,325
12.6167,7.0614,114
8.78333,-1.56538,261
10.95,3.7377,183
16.7,15.5714,148
13.3,8.51,303
18.7667,13.5423,142
17.6833,5.82105,287
22.1,63.9111,45
7.55,-1.35366,330
19.6,9.77966,237
8.93333,-1.3549,510
18.6167,14.1279,172
15.4333,3.46538,261
15.55,6.59467,376
9.76667,4.62857,105
7.8,0.129555,249
20.7833,15.7778,162
21.2333,7.77692,390
10.0667,-1.03833,287
21.85,49.8846,52
16.8667,10.2113,142
9.81667,12.6235,85
8.81667,-1.19122,320
13.6833,11.3354,164
16.1,11.4504,242
21.05,9.05607,321
22.6333,93.6154,13
10.0833,-1.29197,276
17.45,8.76339,224
14.2667,5.02736,329
12.35,8.66102,119
20.8,13.5301,186
9.36667,2.51237,284
13.5,4.95584,320
14.6,7.60328,306
10.1,-2.37374,299
15.3167,8.35,140
14.6333,7.98827,342
8.26667,2.32432,75
18.1333,8.13448,291
6.05,-2.94624,93
12.7833,1.06707,328
16.2167,19.3591,182
20.0333,19.2176,170
10.0167,-0.715686,205
17.4667,4.70438,275
17.2,25.596,99
21.5167,23.8511,141
16.9167,8.23926,163
13.6167,10.6778,180
19.1,4.10048,418
13.5667,7.08213,208
18.0667,7.22093,344
17.4833,1.8743,358
13.6667,9.87978,184
11.7833,6.14643,280
10.6,3.02894,311
8.88333,-1.65395,368
10.7,4.92095,254
18.55,10.3882,171
6.46667,-5.0473,148
21.35,12.1812,277
11.8167,5.61572,229
9.6,2.18325,191
6.68333,-2.29885,87
8.36667,6.26866,67
15.9333,7.52561,373
19.7167,10.8841,233
15.4,7.69027,228
14.2833,4.21965,346
16.95,13.4242,165
14.8,11.3356,289
19.65,14.0649,231
11.0833,8.23188,138
18.9667,5.32676,357
15.2,27.2645,122
11.9,10.8373,210
12.3833,10.6635,107
9.35,0.888112,286
12.7333,4.29146,199
12.7667,2.44615,262
11.0167,3.11702,189
8.08333,1.4759,166
21.4333,17.4969,163
7.63333,-0.340336,238
15.75,4.86783,402
21.6,28.8,100
17.4333,7.30275,218
11.6,3.38636,265
8.98333,-0.669903,516
6.03333,-2.73109,120
15.1667,19.54,152
10.2333,1.57015,335
11.15,7.72,125
6.13333,-2.45679,81
16.9,16.6824,171
7.86667,2.90667,225
11.2667,18.8796,109
10.9333,5.25641,195
14.25,5.78531,357
8.63333,-0.436364,110
10.4667,2.52189,297
14.2333,6.03812,342
12.6833,6.19531,129
12.9,2.13527,417
18.85,7.93238,281
6.75,-5.66304,92
7.85,2.50739,204
21.8833,51.8182,34
20.85,13.7277,224
16.1667,15.0119,168
13.5167,6.29259,270
22.2,66.2174,23
12.4667,4.88636,133
9.85,0.414634,82
18.7,20.9931,145
8.16667,3.37313,134
12.5667,14.157,121
6.58333,1.60227,90
15.15,18.729,156
18.2333,16.4942,173
19.4833,9.94034,354
6.65,-7.98718,78
21.75,48.8906,64
19.8667,9.14881,168
16.4667,14.0094,213
21.3,8.88889,353
21.4,13.1762,227
13.45,7.88612,282
12.4167,13.9338,136
15.8167,4.52571,351
7.98333,-0.333333,285
16.85,15.2353,156
21.7333,34.8095,63
15.3333,11.5193,181
8.28333,5.9596,100
13.7167,8.61809,200
18.7167,15.125,129
10.15,-0.361878,364
20.1833,15.4832,149
18.3167,13.4301,193
19.8333,17.545,189
22.4167,75.6667,21
20,13.3778,225
11.1333,13.1892,148
16.7333,10.5,165
19.5833,14.0191,264
15.0167,10.544,183
8.25,-1.128,125
11.3667,2.168,250
18.6333,14.5,148
14.95,7.53704,216
12.1333,11.8595,122
12.15,11.05,120
11.1833,12.4696,117
18.1833,16.2347,196
15.1333,21.9254,134
11.1,8.02128,94
21.4167,14.07,200
19.7667,9.99571,233
9.75,8.54701,117
14.4,5.75701,323
13.85,12.0185,163
11.05,4.19075,174
8.05,-0.917722,158
18.25,13.8119,202
13.6333,12.325,160
10.9167,7.54271,201
13.4833,8.3605,320
14.8167,9.44048,254
11.2833,4.87963,108
18.7333,12.3707,116
15.05,14.1975,164
22.1167,72.1622,37
12.6333,10.4426,122
6.78333,-0.575,40
23.0167,39.25,28
16.9667,5.91716,171
20.2333,27.4675,155
9.93333,-0.206897,145
8.3,5.87879,99
11,3.82558,258
19.7,15.2871,203
21.7667,41.8571,57
21.8,63.5366,41
17.1833,20.8347,121
9.65,3.1195,160
15.4833,2.40519,388
7.95,-0.280172,232
7.15,-5.94444,126
7.65,-0.953125,258
21.8167,39.3019,54
7.93333,-0.428571,210
6.38333,-0.777778,45
20.05,16.4937,158
10,-1.04869,268
17.0833,16.9302,172
15.1,21.0859,128
15.2333,13.3219,146
18.2833,15.2249,170
8.11667,4.3,120
10.05,0.670588,256
8.06667,2.25767,164
12.1667,12.2946,112
18.6667,16.3377,152
21.6333,30.977,87
21.7833,61.7872,47
20.6667,24.4211,154
20.3167,25.5714,143
13.4333,6.65763,296
20.2,25.2519,135
22.3333,91.2727,22
11.25,11.9576,118
23.2,126.1,10
22.0167,52.5122,41
13.8167,13.5176,170
14.1167,8.66854,178
8.2,2.34513,113
13.7333,9.99422,173
15.25,13.4932,150
6.53333,-6.0101,99
12.7,4.88667,150
19.85,14.2938,177
11.3167,5.22024,168
12.2167,16.0789,114
9.98333,-1.42735,234
6.83333,16,40
11.3,8.90714,140
9.96667,-0.461538,171
6.73333,-5.28261,92
6.06667,-2.50588,86
21.65,34.3205,79
14.1,14.1484,182
22.0833,54.0811,37
16.4,14.9886,176
8.55,4.70297,101
17.3167,26.9111,91
20.0833,16.0108,186
7.91667,-0.652174,230
20.35,31.5467,150
9.71667,7.39286,112
23.35,94.8889,9
17.25,26.0291,103
17.4,14.9266,109
15.35,14.2432,149
14.2,5.65574,308
14.1833,3.85985,265
20.1,18.8831,155
15.3833,11.1389,182
6.28333,-2.29825,57
8.6,0.345794,108
17.35,23.08,101
21.5,17.0142,141
17.2667,30.0909,99
19.7833,16.7206,205
23.5667,249.143,7
17.1667,22.9065,109
23.1667,81.5,22
22.3667,72.6071,28
14.1667,5.72378,287
22.1333,52.6897,29
11.2167,10.7474,95
15.2167,18.9032,155
20.4667,27.5339,119
0.0166667,29.7143,7
12.3167,14.8454,98
22.8333,23.6154,39
17.1167,21.8829,111
5.81667,-11.6667,21
6.41667,-7.37313,67
6.61667,-9.82278,79
7.13333,-4.70238,85
6.45,-3.83621,116
5.75,-9.5,26
7.06667,-4.23256,86
5.71667,-10.3636,11
6.6,-8.52632,76
5.63333,-8.66667,6
5.7,-12.2667,15
5.68333,-14.6364,11
6.76667,-4.72,50
6.66667,-8.61628,86
5.66667,-8.85714,7
18.6833,15.7248,109
6.5,-5.12409,138
6.48333,-4.53676,136
6.4,-4.55714,70
6.71667,-4.96341,82
6.33333,-2.49254,67
6.43333,-6.1875,96
22.25,62.1923,26
21.9833,43.7727,44
10.9,6.12766,190
20.4167,29.7769,122
0.0833333,114,3
20.7333,24.1552,116
9.86667,3.52809,90
14.2167,6.23497,366
14.15,6.50638,237
14.0667,14.9048,169
6.26667,-2.14458,83
6.25,-2.48,126
8.66667,0.291339,127
8.46667,3.40299,67
8.56667,0.266667,90
8.53333,0.0786517,89
8.58333,3.79612,103
20.6333,19.2628,156
8.01667,-0.0649351,156
20.6833,21.2887,142
7.03333,-6.06494,77
7.08333,-4.37349,83
8.15,1.5,122
7.1,2.66337,101
16.3167,9.84868,153
8.1,1.75,120
8.61667,-1.62766,94
8.03333,-0.668605,173
7.96667,-0.611538,260
9.9,2.05435,93
15.3,15.5679,162
13.65,7.02326,172
8.33333,7.46392,97
21.9167,57.86,51
23.5833,81.6667,3
20.3833,32.8284,134
8.18333,1.7619,126
11.2333,8.34783,92
15.2833,24.3833,122
8.38333,2.86885,61
8.31667,6.06757,75
9.88333,2,99
16.6667,12.5613,212
16.75,15.118,178
8.5,3.9505,101
22.45,117.938,16
6.15,-1.2381,105
17.3833,19.5405,113
6.18333,-4.1,90
22.4833,83.1429,14
20.55,32.0965,115
8.23333,0.428571,119
9.95,-1.60234,171
6.51667,-4.02857,105
5.61667,-2,2
6.56667,-7.32558,87
5.73333,-11.2667,15
17.3667,17.1313,99
6.3,-1.89831,60
6.21667,-1.87705,122
6.2,-3.62136,103
16.7667,15.8714,140
6.23333,-3.68504,127
17.3333,36.7872,94
11.1667,9.89683,126
20.5833,21.4296,135
11.2,14.2075,106
10.9667,7.30052,194
8.41667,8.07812,65
8.48333,5.12346,82
20.5167,34.4783,115
20.3,25.0847,118
16.8167,16.0357,142
20.1167,17.4216,186
9.8,6.75,72
16.8,15.141,156
17.3,16.9884,87
0.366667,214.4,5
20.6167,20.8099,142
17.2333,23.3723,94
13.9,11.4558,148
8.35,11.3284,67
20.2167,20.1206,142
8.4,3.46875,64
17.2833,21.3947,76
17.2167,23.4273,110
22.8,46.1579,19
8.45,5.10145,70
20.5333,33.1509,106
8.51667,3.65979,97
16.4333,8.83871,186
20.4,36.6577,111
8.43333,5.18841,69
20.2667,21.5574,122
22.7833,85.3889,18
22.0667,64.3077,26
22.5167,91.0588,17
16.7167,9.63566,129
20.7,23.4235,86
20.45,30.8411,107
23.4833,145.4,5
23,18.9565,46
22.9667,15.1636,55
23.0667,46.6207,29
2.43333,204,1
23.2167,88.75,12
0.283333,122.667,3
23.25,73,12
22.9333,23.875,48
22.8667,18.3182,44
23.15,103.583,12
23.05,59.9167,24
22.9,36.4571,35
8.21667,2.27358,106
21.9667,47.55,40
0.0666667,91.7143,7
22.2167,60.7391,23
23.4167,87,13
22.8167,32.3684,19
23.0333,30.8684,38
23.0833,58.7407,27
22.9167,12.8095,42
21.8333,40.9545,45
23.1333,50.3889,18
22.9833,15.871,62
21.8667,50.875,40
22.0333,58.1463,41
22.95,17.4255,47
23.1,60.5,22
23.1167,68.6154,13
22.2333,91.0417,24
22.1667,92.9643,28
22.3833,89.1154,26
0.1,51,5
23.95,100.333,6
23.3667,110.273,11
6.31667,-0.980392,51
0.116667,90.3333,6
22.7333,57.5294,17
22.5,101.368,19
5.65,-18,2
5.78333,-6,13
0.316667,166.5,2
6.35,-0.754386,57
22.3,92.4545,23
6.36667,1.15217,46
21.9333,64.9048,42
1.33333,240.5,2
22.4333,87.6667,15
22.4,74.0417,24
22.85,27.0811,37
22.5333,92.8667,15
23.2333,87.5556,9
23.4,130.25,8
22.4667,83.44,25
0.666667,189.333,3
22.8833,6.64516,31
23.2833,103.417,12
23.3333,108.875,8
22.6,109.5,18
23.8667,175.75,4
23.8833,182.25,4
0.733333,200,1
6.81667,-4.68889,45
5.8,-13.7143,14
23.6833,148,7
0.35,213.25,4
0.633333,301.5,2
22.15,70.1379,29
0.2,104.4,5
1.73333,426,1
23.8167,214.833,6
22.7167,108.526,19
23.9167,156.286,7
22.5833,97.6667,15
22.65,125.556,9
22.7667,80.5,20
22.55,92.5789,19
0.3,96.5,2
23.5,85.25,12
22.75,78.5625,16
23.45,162.5,6
23.3833,149.5,10
22.35,84.7333,15
0.683333,106,1
5.76667,-7.875,8
22.6667,110,12
0.233333,194.333,3
22.05,54.4815,27
22.2833,73.9474,19
0.216667,162,2
23.8,144.6,5
23.3,129.9,10
23.8333,149.571,7
1.75,282,1
0.15,103.333,3
23.6167,145.375,8
0.883333,203,2
23.1833,81.3333,12
0.816667,104,1
0.766667,199,1
22.6833,137.143,14
23.5333,162.167,6
0.75,112,1
1.16667,248,2
22.3167,94.3077,13
0.716667,208,1
23.5167,195.75,4
22.2667,60.4444,27
23.9833,106.364,11
22.1833,57.9706,34
23.75,225.5,4
22.7,100.083,12
0.616667,209,1
23.55,104,4
23.9,202,2
0.55,93,1
1.2,243,1
5.33333,-3.4375,16
5.25,-5.38462,26
5.26667,-5.6,10
5.3,-6.5,8
5.16667,-10.4231,26
5.18333,-7.06897,29
5.31667,-1,13
5.28333,-4.83333,12
5.48333,-4,1
0.266667,250.5,2
1.11667,235,1
23.9333,221.333,6
23.6333,175.25,4
23.7167,127.4,5
1.98333,263.5,2
0.483333,229,3
1.58333,252,1
0.8,167.5,2
0.983333,229,1
23.2667,92.2222,9
23.65,100.4,5
0.933333,210,2
1.83333,338,1
0.433333,178,1
23.7,323,1
0.416667,228,2
1.01667,449,1
1.61667,287,1
23.9667,139.75,4
23.6,153.8,5
23.6667,123.167,6
23.4667,77.4286,7
23.3167,70,5
24,310,1
1.86667,317,1
0.916667,264.5,2
23.7667,121.5,4
23.7333,121.75,4
5.21667,-1.2,10
5.2,-2.42857,14
5.55,4,1
5.4,5.5,2
5.38333,0.5,2
5.36667,15.5,2
5.45,8.25,4
5.46667,8,1
0.166667,130.667,3
5.23333,-3.7,10
5.35,-3,1
23.4333,196,4
0.833333,187.5,2
0.333333,176,1
1.06667,279,1
0.25,10.5,2
0.566667,205.5,2
0.7,96,1
1,217,1
5.41667,2,1
5.08333,-13.6842,19
5.05,-10.5,6
5.15,-7.95833,24
5.1,-11.0938,32
5.06667,-11.1429,14
5.11667,-7.52941,34
5.13333,-11.5,36
4.98333,-15,1
0.133333,91,2
0.966667,208,1
23.85,111,3
0.05,141,4
1.5,210,1
0.0333333,64,2
1.65,351,1
5.01667,-15,2
5.51667,11,1
5.5,10,1
5.03333,-8.5,2
1.21667,226,1
0.516667,190.5,2
5.56667,17,1
1.93333,957,1
1.88333,458,1
0.783333,227,1
0.65,99,1
1.66667,168,1
5.53333,3,1
1.08333,180,1
23.7833,100,1
